series_id,title,url,category,thumbnailUrl,description,age_limit_detail,weekday,writer,illustrator,original_author
46609100,은동스+옹동스,https://page.kakao.com/content/46609100,드라마,//page-images.kakaoentcdn.com/download/resource?kid=cPJKZX/hzwBpzdb2p/kqrqysTBUWx4KMyTsyo8G1&filename=o1,오빠와 이별했지만 귀엽고 순수한 작은 고양이 은동은 오늘도 엄마와 함께 밝고 씩씩하게 은동구리의 일상을 이어갑니다.,All,금,스노우캣,스노우캣,
47196143,달빛조각사,https://page.kakao.com/content/47196143,"판타지, 게임, 전문직, 퓨전, 전쟁, 생존, 깽판, 먼치킨, 시스템, 천재, 노력, 성장, 검사, 대장장이/생산직, 만능, 플레이어",//page-images.kakaoentcdn.com/download/resource?kid=bqOQfI/hyATocKvHk/YYiYzkjaIQw7xSgiFvuxK1&filename=o1,"아르바이트를 전전하며 어렵게 살던 소년가장 이현, 그가 ‘위드’가 되어 가상현실게임 로열 로드 안으로 뛰어든다. 그가 게임을 하는 이유는 단 하나, 그건 바로 돈을 버는 것이었다.
NPC한테까지 아부하여 밥을 얻어먹고, 차라리 노가다는 쉬운 거라며 주야장천 수련에 몰두하여 능력치를 키우는 억척의 지존. 그런 그에게 게임 속 세상은 모조리 돈으로 연결되는 방법일 뿐.
그런데 정작 그런 그가 얻게 된 직업은 전혀 돈 안 될 것 같은 '조각사'였다.
한국 게임판타지 소설의 신화  『달빛조각사』  공식웹툰화!",All,화,"김준형, 이도경","김태형, 박정열, 신C",남희성
47497773,트레이스 - 신들의 시선,https://page.kakao.com/content/47497773,"액션, 퓨전, 먼치킨, 초능력",//page-images.kakaoentcdn.com/download/resource?kid=NbTV6/hyqFah4Vqa/9xfFfKVxFVyOJb2hQTBc11&filename=o1,"어느날 갑자기 세상에 나타나 인간들을 공격하기 시작한 정체불명의 존재 트러블.
트러블이 나타난 후 인간들에게도 트러블에 맞서 싸울 수 있는 능력자들이 나타나기 시작했다.
트러블, 트레이스, 인간. 각자의 생존을 건 싸움이 시작된다.",All,화,네스티캣,네스티캣,
47740585,나의 그녀는 구미호,https://page.kakao.com/content/47740585,판타지,//page-images.kakaoentcdn.com/download/resource?kid=mIY7m/hybBMPQIqQ/fO0WN1X9JG1P1bpOXPDsY0&filename=o1,"어느날 나타난 사람을 빨아 먹는 나무요괴 미녀..
그리고 양기가 충만한 주인공 봉석과 그에 곁에 갑자기 나타난 미녀 구미호..
매혹적인 구미호와 주인공 봉석이 인간세상에 나타난 요괴들에 맞서 벌이는 모험 러브 판타지 액션물

회를 거듭할수록 더 진화하고 다양한 요괴들이 등장하고, 주인공 봉석을 보호하는 미녀 구미호의 진짜 정체는 무엇인가?",Fifteen,수,프리,서락,
47936014,신인왕좌,https://page.kakao.com/content/47936014,"판타지, 천재, 검사, 마법사, 격투가, 용병, 정령술사, 용사, 힐러",//page-images.kakaoentcdn.com/download/resource?kid=eYqVo/hzp2j7jGmS/8NCv9ta30NKSGRpkD17yQk&filename=o1,"유명 판타지 소설을 만화화 한 작품!

마족이 강세하고 인류는 멸종 위기에 직면하였다. 인류는 6대 성전을 만들어 생존한 사람들을 이끌고 인류의 마지막 영토를 보호하기 위해 싸우고 있다.

이런 혼탁한 어지러운 세상으로부터 어머니를 보호하기 위해 기사가 되겠다고 결심한 소년! 

피나는 노력 끝에 기사 성전에 들어가 기사로 승급되는데.. .그런 그 소년에게 연이은 고난과 음모들이 일어난다… 그렇게 더욱 넓은 세상에 발을 들인 소년은 이 세상에 존재하는 어두운 악의 세력들을 접하게 되고, 이 세계와 사람들을 보호하기 위해서는 더더욱 강해져야 한다고 다짐한다…

인류의 6대 성전과, 마족의 72주 마신이 얽히고설킨 이 혼탁한 세계, 소년은 과연 기사의 최고 영예를 뜻하는 신인왕좌에 오를 수 있을까?

“매 하나의 신인왕좌에는 모두 신이 남긴 흔적이 있다. 난 언젠가는 한 명의 신인 기사가 될 것이다!”",All,토,Sariel,Sariel,
47945547,영검산,https://page.kakao.com/content/47945547,판타지,//page-images.kakaoentcdn.com/download/resource?kid=bY2StX/hyCvjVlHOl/E8KwH4Cny9YqdKAq1bO6qK&filename=o1,"중국 베스트셀러 유명소설을 원작으로 하여 만화로 만든 작품.

백년 전.
현대에서 타임슬립하여 수선계로 넘어간 주인공 왕루.
전무후무한 공영근(空靈根-아무 특성도 정해지지 않은 영근)의 소유자로 다시 태어났다.
그는 영검파의 승선대회에 참가해 기이한 문제들을 풀어가며 수선계를 정복한다.
하지만 그 과정에서 예측하지 못한 사고가 발생하는데...

그로부터 백년 후.
말법의 혼돈시대가 재림하고... 천명을 타서 이 세상에 태어난 주인공 왕루로 인해
운명은 엉뚱하게 달라진 길로 굴러가기 시작 하는데...!

병맛 쩌는 절세고수 왕루의 모험이 지금 시작된다!",All,금,주화,소막,
48057888,밑밥,https://page.kakao.com/content/48057888,드라마,//page-images.kakaoentcdn.com/download/resource?kid=b1iAxz/hybBIfoWzs/xbfqfkA53P0KcujtRmhm9K&filename=o1,"만화 ‘밑밥’은 피곤한 삶에 지친 어른들을 위한 이야기입니다.

일상과 대비되는 아름다운 바다의 풍광과 함께 각박한 현실에서 벗어나, 낚시를 즐기는 친구들간의 우정, 반복되는 일상에서는 느낄 수 없는 긴장감 그리고 본능을 자극하는 체험 등을 함께 표현함으로써 단순히 낚시를 소재로만 다루는 것이 아닌, 진정한 낚시의 매력을 표현하고 그 분위기 마저 낚시와 닮은 새로운 형식의 작품.",All,월,오현석,오현석,
48475105,권왕무적,https://page.kakao.com/content/48475105,"무협, 정통, 무림, 전쟁, 곤륜, 무당, 정파, 성장, 천재, 도사, 마교",//page-images.kakaoentcdn.com/download/resource?kid=LhnP0/hybO0fNYiA/Ycdfa8Lg5NryzUuYiEHyEK&filename=o1,"빈손으로 세상에 나와 단 두 주먹으로 무림을 평정한 권왕. 
진정한 남자는 사랑마저도 호쾌하다. 말은 느리고 주먹은 빠르게! 
주먹질 아홉 번이면 이기지 못할 자가 없는 권왕, 이제 그에 대한 신화와 전설이 시작된다.
매주 금요일 업데이트!",Fifteen,금,초우,김대진,
48683376,소녀신선,https://page.kakao.com/content/48683376,"드라마, 판타지물, 신령, 초월적존재, 친구, 학생, 동물, 이야기중심",//page-images.kakaoentcdn.com/download/resource?kid=dC0F7r/hzVqIhfVcB/zQ7q7cLkrDJCW1k3j8K4v0&filename=o1,"수능을 며칠 앞둔 고3 수험생 하버들은
밤늦은 귀갓길에 우연히 도깨비를 만나
무릉도원으로 끌려가고 만다. 

도망치던 버들은 실수로 그만 이무기 꽝철의 봉인을 풀어버리고
그곳의 신선으로부터 다음 신선이 되라는 명을 받는데..?!

재수생 버들이는 성격 더러운 꽝철이,
신선의 보좌인 안경 미남 청학,
귀신 쫓는 개 삼목이와 함께 본격적인 신선생활을 시작한다.

매일 영물과 요괴의 사건 사고가 끊이지 않는 
중생구제 사무소의 신선 라이프!

'제발 그냥 수험공부하게 날 좀 내버려 둬!!’",All,금,효미,효미,
48697412,아도니스,https://page.kakao.com/content/48697412,"로판, 라이벌/앙숙, 사이다녀, 걸크러쉬, 능력녀, 회귀물, 로맨스판타지, 소유욕/독점욕, 능력남, 재회물, 기사물, 중세물, 여주판타지, 직진남",//page-images.kakaoentcdn.com/download/resource?kid=dJZCrW/dJMb9LYiVyU/4P95y1SkcUKmr0fwsj1Cv1&filename=o1,"자신과 누구보다 닮았던 자, 그래서 서로에게만 집중했고 광적으로 집착했다.
다만 한쪽은 상대의 온기를, 한쪽은 완전히 꺾기를 원한 아르하드와 이아나.
주인공 이아나는 적국의 황제가 된 아르하드와의 싸움에서 삶을 미련 없이 끝내지만,
영문도 모른 채, 다시 되살아나 자신이 살아왔던 삶을 반복하게 된다.
전생에서 파국을 맞이하게 된 두 사람은, 새로운 생에서도 또다시 만나게 되고, 비극을 반복하게 되는 것일까….",All,월,와파,결정,혜돌이
