웹툰ID,제목,url,thumbnailurl,카피문구,성인여부,요일,시놉시스,키워드리스트,글작가,그림작가,원작가
198,오무라이스 잼잼,https://webtoon.kakao.com/content/오무라이스-잼잼/198,https://kr-a.kakaopagecdn.com/P/C/198/c1/2x/dceabccf-5afc-447a-b4b3-e7b1fb313090.png,"다이어트 할 때 가장 위험한 만화
추억과 음식과 이야기들",False,화,"'음식'과 '가족'의 이야기를 담은 에세이 만화.

몇 개라도 먹을 수 있을 것 같은 '메추리알 조림',
빙글빙글 돌아가는 '회전초밥',
지구 반 바퀴 돌아 포르투갈에서 맛본 '에그타르트',
매콤상콤하게 볶아 입맛 도는 '마라샹궈',
짭짤한 밥도둑 '간장게장' 등

우리가 사랑하는 모든 음식들에 얽힌
흥미진진한 비화와 따스한 이야기가 펼쳐진다.

엄마, 아빠, 딸, 그리고 아들로 구성된
작가의 가족이 전하는 음식의 알찬 정보!

몸과 정신의 영양까지 챙기는 건강한 작품, 지금 시작됩니다!","공감되는, 식욕을 자극하는, 코믹/일상, 지식정보, COMIC_EVERYDAY_LIFE",조경규,조경규,
760,딩스뚱스,https://webtoon.kakao.com/content/딩스뚱스/760,https://kr-a.kakaopagecdn.com/P/C/760/c1/2x/296b562f-c626-4429-ba44-f18db3fc0af6.png,"토종 한국인 딩스와 뚱스,
타지에서 맨땅에 헤딩하기!",False,화,"토종 한국인 딩스와 뚱스, 타지에서 맨땅에 헤딩하기!","귀여운, 따뜻한, 코믹/일상, 에피소드물, COMIC_EVERYDAY_LIFE",딩스,딩스,
792,블랙 베히모스,https://webtoon.kakao.com/content/블랙-베히모스/792,https://kr-a.kakaopagecdn.com/P/C/792/c1/2x/489481d8-9bc8-41d7-ba8d-d1c79fe3c9c3.png,"탈리스만이 되기 위한 시험에 
도전하는 주인공의 힘겨운 전투!",False,수,"태초에 세 명의 신이 있었다.
땅의 베히모스, 바다의 레비야탄, 하늘의 즈가.

그러나 베히모스와 레비야탄은 서로를 증오하였고 
사투 끝에 둘다 죽게 된다.

이를 지켜본 즈가가 눈물을 흘렸고, 그 눈물이 탈리스라는
신비한 힘을 가진 광석이 공존하는 세상을 탄생시킨다.

이 탈리스를 두고 분쟁이 끊이지 않는 두 나라 이리스타와 폴만.
이리스타는 자원의 발굴과 관리를 위해 탈리스만 시험을 개최한다.

시험에 참가한 주인공들은 자신들의 과거와 마주하게 되고,
고통의 기억은 자꾸만 링클레터와 윙첼의 발목을 붙잡아
그들이 미래로 나아가지 못하도록 하는데...

과학적 원리가 곁들어진 판타지 세계관 속에서
주인공의 내적인 성장을 그리는 철학적이며 서사적인 이야기","몰입되는, 압도되는, 학원/판타지, 성장물, SCHOOL_ACTION_FANTASY",케이지콘,케이지콘,
823,레드스톰 - 왕의 귀환,https://webtoon.kakao.com/content/레드스톰---왕의-귀환/823,https://kr-a.kakaopagecdn.com/P/C/823/c1/2x/fc2516b4-cc8a-435a-a816-5420bfbd4c16.png,"4년 만에 돌아온 그로우, 왕의 귀환
사막을 넘어 다시 시작되는 전쟁",False,토,"피에 젖은 사막.
붉은 사막을 용납할 수 없던 한 소년.

소년은 사막의 무신이 되어 사막을 구하지만
이제는 세계가 피에 젖으려 한다.
무신은 이제 사막을 넘어 세계를 구하려 한다.

“4년 만에 돌아온 그로우, 왕의 귀환.
이제는 사막에서 전쟁을 보여줘야 할 때다.”","역동적인, 몰입되는, 액션/무협, 성공성장물, ACTION_WUXIA",노경찬,암현,
1078,유부녀의 탄생,https://webtoon.kakao.com/content/유부녀의-탄생/1078,https://kr-a.kakaopagecdn.com/P/C/1078/c1/2x/0dde6467-e190-4e15-aa24-7f23baf98b65.png,"누구도 알려주지 않은 결혼식 이후
삶에 대한 리얼리티 카툰!",False,월,"누구도 알려주지 않은 
결혼식 이후 삶에 대한 리얼리티 카툰!","공감되는, 귀여운, 코믹/일상, 에피소드물, COMIC_EVERYDAY_LIFE",김환타,김환타,
1121,홍도,https://webtoon.kakao.com/content/홍도/1121,https://kr-a.kakaopagecdn.com/P/C/1121/c1/2x/c1fab88a-a549-4bfb-be85-37fa43389cef.png,"인간과 이매망량이 공존하는 세상 속
까마귀를 쫓는 홍도의 이야기.",False,수,"인간과 주술사, 귀와 신, 이매와 망량.
인간과 인간이 아닌 존재들이 공존하는 세상.

하지만 강대했던 주술사가 쇠락하고
인간이 아닌 존재들이 설 곳을 잃어가는 시대.

교국 상장군 이홍도는 모종의 이유로
까마귀의 행방을 쫓고 있는데...","역동적인, 압도되는, 액션/무협, 로드무비, ACTION_WUXIA",s_owl,s_owl,
1295,퀴퀴한 일기,https://webtoon.kakao.com/content/퀴퀴한-일기/1295,https://kr-a.kakaopagecdn.com/P/C/1295/c1/2x/445df491-2cb0-4609-9e36-64b7b8262c27.png,"즈질스럽고 퀴퀴한 언니의 
쿰쿰한 일상다반사",False,"금, 일","내 주변에 반드시 한 명은 있을 것만 같은, 
어쩌면 나 같기도 한 그녀의 일기.

어느덧 40대의 아기 엄마가 된 주인공 이보람과
그의 군단들의 이야기이다. 

너무나 시시하고 쩨쩨해서 누구에게 털어놓기도 멋쩍은 일들이 
작은 마음을 가진 그들에겐 늘 뜨겁고 강렬하다!

마음속 깊이 숨어있는 자질구레한 감정들과 
스스로 인정하고 싶지 않은 치사스러운 마음들을 
뻔뻔스럽게 받아들일 수 있는 곳.

소소한 행복과 내밀한 이야기들을 가감 없이 나눌 수 있는 곳.

바쁜 하루 동안 미쳐 돌아보지 못한 내 마음 깊은 곳에 숨어있는 
작은 먼지들을 툭툭 털어내어 볼 수 있는 우리의 일기장.
퀴퀴한 일기.","공감되는, 웃기는, 코믹/일상, 에피소드물, COMIC_EVERYDAY_LIFE",2B,2B,
1299,쌍갑포차,https://webtoon.kakao.com/content/쌍갑포차/1299,https://kr-a.kakaopagecdn.com/P/C/1299/c1/2x/a4edda04-4934-4b0d-a33f-92e02d331ff4.png,"늦은 밤, 낯선 곳에 나타난 포장마차
그 곳에서 일어나는 이야기들",False,수,"예상치 못한 시간, 예상치 못한 장소에 나타나는 쌍갑포차!
쌍갑포차를 운영하는 월주는 과연 누구일까?

쌍갑포차에 찾아오는 다양한 손님들의
감동적인 이야기!

한국 전통 신화 이승과 저승을,
꿈의 세계 그승과 함께 재창조한 세계관으로, 
덤덤하게 써 내려진 깊이 있는 사람들의 사연 속

조선 시대부터 현대까지 폭넓은 시대 배경을 가지는 
각각의 에피소드가 거미줄처럼 서로 인연이 얽혀있는 
주인공들의 각각의 인생 이야기를 통해

잔잔하게 위로를 받을 수 있는 힐링 웹툰 쌍갑포차에
여러분도 들려보시겠습니까?","공감되는, 감동적인, 판타지 드라마, 옴니버스물, FANTASY_DRAMA",배혜수,배혜수,
1304,소녀신선,https://webtoon.kakao.com/content/소녀신선/1304,https://kr-a.kakaopagecdn.com/P/C/1304/c1/2x/7cbba395-eab2-4b0a-8f39-f4f8fbda1144.png,"재수생 하버들, 신선이 되어 
성질 드러운 이무기 꽝철이와 만나다",False,금,"재수생 하버들, 신선이 되어 성질 드러운 이무기 '꽝철이'와 만나다","환상적인, 설레는, 판타지 드라마, 옴니버스물, FANTASY_DRAMA",효미,효미,
1347,반지하셋방,https://webtoon.kakao.com/content/반지하셋방/1347,https://kr-a.kakaopagecdn.com/P/C/1347/c1/2x/919a077d-0aea-49ad-8b24-f082a75890d0.png,"반지하에 살고 있는 자매의
좌충우돌 일상툰",False,토,"밝지만 엉뚱한 첫째와 무뚝뚝한 둘째, 인간 비타민 셋째까지. 

청각장애인 어머니와 막노동꾼 아버지 밑에서 가난하게 
자라났지만 밝고 유쾌하게 살아가는 세 자매.

그 세 자매 중 첫째와 둘째가 독립을 결심했다!
하지만 독립자금이 모자란 두 사람은 반지하에 자리를 잡는다.

천장에서 물이 새는 것은 물론 벌레들이 들끓는 반지하에서 
행복을 찾으려 노력하나 세상은 그리 녹록지 않다.
악덕 기업과 싸우고 갑작스러운 해고에 공장을 전전하기까지..!

설상가상으로 부모님이 암에 걸려 병원에 입원하면서 
세 자매는 직장 생활과 병간호를 병행하게 되는데... 

고된 일상에도 불구하고 힘내서 세상을 살아갈 수 있는 건 
웹툰 작가라는 꿈과 언제나 함께하는 가족, 

과연 자매는 꿈을 이루고 반지하를 탈출할 수 있을까? ","공감되는, 웃기는, 코믹/일상, 에피소드물, COMIC_EVERYDAY_LIFE",평범한 자매,평범한 자매,
